Date,Open,High,Low,Last,Change,PctChange,Volume,OpenInt
04/30/2026,90.00,91.45,86.70,88.78,-0.08,-0.09%,,
05/01/2026,89.31,90.34,85.70,87.39,-1.39,-1.57%,84073,132360
05/04/2026,86.78,92.51,85.93,92.26,+4.87,+5.57%,105442,133951
05/05/2026,91.70,91.91,89.10,89.92,-2.34,-2.54%,70591,135096
05/06/2026,90.19,90.19,80.33,84.16,-5.76,-6.41%,138829,134011
05/07/2026,84.00,86.12,80.78,84.21,+0.05,+0.06%,122678,132518
05/08/2026,85.70,86.20,83.39,85.26,+1.05,+1.25%,84421,129971
05/11/2026,87.00,89.01,86.26,87.90,+2.64,+3.10%,62396,125853
05/12/2026,88.12,91.19,87.97,90.84,+2.94,+3.34%,64525,126509
05/13/2026,90.55,90.74,88.52,88.72,-2.12,-2.33%,68076,129163
05/14/2026,88.88,89.85,87.08,88.61,-0.11,-0.12%,62087,135435
05/15/2026,89.21,92.27,88.85,91.83,+3.22,+3.63%,62637,137078
05/18/2026,92.50,95.30,90.33,94.79,+2.96,+3.22%,113807,135805
05/19/2026,92.47,95.07,92.47,94.42,-0.37,-0.39%,62827,136524
05/20/2026,94.61,94.71,88.78,90.01,-4.41,-4.67%,105151,133561
05/21/2026,90.79,94.02,88.89,89.36,-0.65,-0.72%,117335,130570
05/22/2026,90.50,92.07,88.04,89.59,+0.23,+0.26%,86402,131374
05/26/2026,87.63,88.15,84.29,87.15,-2.44,-2.72%,111308,131081
05/27/2026,86.71,86.89,82.49,83.58,-3.57,-4.10%,104515,130240
05/28/2026,83.64,86.57,82.31,84.72,+1.14,+1.36%,82695,133587
05/29/2026,84.29,84.75,82.32,83.19,-1.53,-1.81%,91574,137610
06/01/2026,84.20,88.53,84.20,86.33,+3.14,+3.77%,112637,141248
06/02/2026,86.59,87.57,84.60,87.31,+0.98,+1.14%,98955,145842
06/03/2026,87.21,89.90,87.21,89.42,+2.11,+2.42%,113392,152402
06/04/2026,88.89,89.26,86.14,86.94,-2.48,-2.77%,76413,157488
06/05/2026,86.92,87.55,84.68,85.33,-1.61,-1.85%,91908,163109
06/08/2026,86.85,89.75,86.03,86.99,+1.66,+1.95%,123701,164801
06/09/2026,87.06,87.19,82.91,84.74,-2.25,-2.59%,124016,169750
06/10/2026,85.50,88.06,84.07,86.51,+1.77,+2.09%,122222,175226
06/11/2026,88.20,89.48,82.85,84.54,-1.97,-2.28%,143640,190094
06/12/2026,83.50,83.94,80.33,81.71,-2.83,-3.35%,95088,192119
06/15/2026,79.78,79.78,77.35,78.17,-3.54,-4.33%,106642,191880
06/16/2026,78.50,78.82,74.04,74.59,-3.58,-4.58%,137302,196036
06/17/2026,75.00,78.04,73.54,75.16,+0.57,+0.76%,114544,194778
06/18/2026,74.17,75.28,72.19,75.11,-0.05,-0.07%,138892,197547
06/22/2026,74.69,77.10,72.58,73.03,-2.08,-2.77%,156638,199754
06/23/2026,73.20,73.55,71.78,72.54,-0.49,-0.67%,113788,197039
06/24/2026,72.47,72.53,69.26,69.93,-2.61,-3.60%,141635,197807
06/25/2026,69.31,72.08,68.57,71.52,+1.59,+2.27%,141620,201204
06/26/2026,71.09,71.45,68.32,68.93,-2.59,-3.62%,144324,204325
06/29/2026,70.14,70.72,69.00,70.41,+1.48,+2.15%,94902,202688
06/30/2026,70.11,71.31,69.01,69.27,-1.14,-1.62%,141090,205781
07/01/2026,69.70,69.89,67.88,68.51,-0.76,-1.10%,137816,208052
07/02/2026,68.02,68.77,67.12,68.65,+0.14,+0.20%,128769,208183
07/06/2026,68.37,69.24,67.82,68.56,-0.09,-0.13%,145915,214397
07/07/2026,68.67,72.24,68.61,70.34,+1.78,+2.60%,193659,222089
07/08/2026,72.07,75.59,71.53,73.27,+2.93,+4.17%,334185,243864
07/09/2026,74.55,74.74,71.26,71.90,-1.37,-1.87%,202642,243681
07/10/2026,71.66,72.95,70.68,71.34,-0.56,-0.78%,167753,244989
07/13/2026,73.38,78.34,72.51,77.94,+6.60,+9.25%,260563,257059
07/14/2026,77.87,80.54,77.39,78.68,+0.74,+0.95%,389667,257769
07/15/2026,78.96,80.13,77.77,79.12,+0.44,+0.56%,217878,262301
07/16/2026,79.45,80.29,78.00,78.28,-0.84,-1.06%,202100,272601
07/17/2026,78.86,82.07,77.93,81.78,+3.50,+4.47%,255772,279275
07/20/2026,82.91,84.60,79.58,82.48,+0.70,+0.86%,357260,296355
07/21/2026,82.42,85.03,81.39,84.34,+1.86,+2.26%,298109,303802
07/22/2026,84.69,88.61,84.44,86.83,+2.49,+2.95%,358021,301094
07/23/2026,87.72,93.50,87.32,92.19,+5.36,+6.17%,401934,301342
07/24/2026,92.55,92.83,87.68,89.31,-2.88,-3.12%,365438,293930
07/27/2026,86.12,86.20,81.63,82.61,-6.70,-7.50%,352813,280817
07/28/2026,82.00,82.43,77.78,79.26,-3.35,-4.06%,368026,265644
07/29/2026,80.04,85.57,79.92,84.46,+5.20,+6.56%,327417,265718
07/30/2026,84.65,85.94,82.97,83.59,-0.87,-1.03%,214540,265946
